SDT_YY,SDT_MM,SDT_DD,SDT_DY,ARP,ODP,FLO,FLT,AOD,STT,DLY,DLY_RATE
2019,9,16,월,ARP1,ARP3,L,L1702,A,9:05,0,0.012787382
2019,9,16,월,ARP3,ARP1,L,L1702,D,7:55,0,0.036399737
2019,9,16,월,ARP1,ARP3,L,L1720,A,14:40,1,0.139487073
2019,9,16,월,ARP3,ARP1,L,L1720,D,13:30,1,0.360086679
2019,9,16,월,ARP4,ARP3,L,L1808,A,20:10,1,0.133154348
2019,9,16,월,ARP3,ARP4,L,L1808,D,19:10,0,0.14039062
2019,9,16,월,ARP3,ARP9,J,J1934,A,16:00,0,0.013386462
2019,9,16,월,ARP9,ARP3,J,J1934,D,15:00,0,0.026990073
2019,9,16,월,ARP3,ARP1,L,L1703,A,8:10,0,0.01183428
2019,9,16,월,ARP1,ARP3,L,L1703,D,7:00,0,0.024165194
2019,9,16,월,ARP3,ARP4,L,L1809,A,20:35,1,0.129499421
2019,9,16,월,ARP4,ARP3,L,L1809,D,19:35,1,0.23559165
2019,9,16,월,ARP3,ARP1,L,L1731,A,19:20,0,0.00381453
2019,9,16,월,ARP1,ARP3,L,L1731,D,18:10,0,0.096903019
2019,9,16,월,ARP9,ARP3,J,J1935,A,14:25,0,0.014009552
2019,9,16,월,ARP3,ARP1,L,L1705,A,9:25,0,0.017990906
2019,9,16,월,ARP1,ARP3,L,L1705,D,8:15,0,0.037571959
2019,9,16,월,ARP1,ARP3,L,L1732,A,21:05,0,0.059188105
2019,9,16,월,ARP3,ARP1,L,L1732,D,19:55,0,0.093213804
2019,9,16,월,ARP4,ARP3,L,L1810,A,22:10,1,0.188621223
2019,9,16,월,ARP3,ARP4,L,L1810,D,21:10,1,0.682472587
2019,9,16,월,ARP3,ARP9,J,J1935,D,13:25,0,0.041282348
2019,9,16,월,ARP3,ARP6,J,J1954,A,9:25,0,0.010454233
2019,9,16,월,ARP6,ARP3,J,J1954,D,8:20,0,0.01239026
2019,9,16,월,ARP1,ARP3,L,L1706,A,9:55,0,0.04964995
2019,9,16,월,ARP3,ARP1,L,L1706,D,8:45,0,0.104140922
2019,9,16,월,ARP3,ARP1,L,L1733,A,19:35,0,0.074727111
2019,9,16,월,ARP1,ARP3,L,L1733,D,18:25,0,0.096903019
2019,9,16,월,ARP3,ARP8,L,L1901,A,10:25,0,0.031982496
2019,9,16,월,ARP8,ARP3,L,L1901,D,9:30,0,0.073481187
2019,9,16,월,ARP6,ARP3,J,J1955,A,11:10,0,0.013108509
2019,9,16,월,ARP3,ARP1,L,L1707,A,10:55,0,0.057161123
2019,9,16,월,ARP1,ARP3,L,L1707,D,9:45,0,0.104897127
2019,9,16,월,ARP1,ARP3,L,L1734,A,21:40,0,0.115216151
2019,9,16,월,ARP3,ARP1,L,L1734,D,20:30,0,0.093213804
2019,9,16,월,ARP8,ARP3,L,L1902,A,8:55,0,0.043553192
2019,9,16,월,ARP3,ARP8,L,L1902,D,8:05,0,0.155383363
2019,9,16,월,ARP3,ARP6,J,J1955,D,10:05,0,0.082511142
2019,9,16,월,ARP1,ARP3,L,L1708,A,11:10,0,0.051483311
2019,9,16,월,ARP3,ARP1,L,L1708,D,10:00,0,0.091570541
2019,9,16,월,ARP3,ARP1,L,L1735,A,20:00,1,0.152469486
2019,9,16,월,ARP1,ARP3,L,L1735,D,18:50,1,0.503071785
2019,9,16,월,ARP3,ARP8,L,L1903,A,12:55,1,0.129080862
2019,9,16,월,ARP8,ARP3,L,L1903,D,12:10,0,0.075928293
2019,9,16,월,ARP3,ARP6,J,J1956,A,15:20,0,0.059836075
2019,9,16,월,ARP6,ARP3,J,J1956,D,14:15,1,0.257117659
2019,9,16,월,ARP1,ARP3,L,L1736,A,22:15,0,0.118726224
2019,9,16,월,ARP3,ARP1,L,L1736,D,21:05,1,0.578879654
2019,9,16,월,ARP8,ARP3,L,L1904,A,11:40,0,0.08185637
2019,9,16,월,ARP3,ARP8,L,L1904,D,10:50,1,0.339261174
2019,9,16,월,ARP6,ARP3,J,J1957,A,13:35,0,0.039043918
2019,9,16,월,ARP3,ARP6,J,J1957,D,12:30,1,0.287140012
2019,9,16,월,ARP1,ARP3,L,L1710,A,12:15,0,0.027934272
2019,9,16,월,ARP3,ARP1,L,L1710,D,11:05,0,0.13360776
2019,9,16,월,ARP3,ARP4,L,L1801,A,7:20,0,0.014248301
2019,9,16,월,ARP4,ARP3,L,L1801,D,6:20,0,0.009504104
2019,9,16,월,ARP1,ARP3,L,L1712,A,12:45,0,0.027934272
2019,9,16,월,ARP3,ARP1,L,L1712,D,11:35,0,0.146565899
2019,9,16,월,ARP1,ARP3,L,L1722,A,16:15,1,0.132879674
2019,9,16,월,ARP3,ARP1,L,L1722,D,15:05,1,0.347160488
2019,9,16,월,ARP4,ARP3,L,L1802,A,9:25,0,0.020136464
2019,9,16,월,ARP3,ARP4,L,L1802,D,8:25,0,0.075329728
2019,9,16,월,ARP3,ARP8,L,L1905,A,17:15,1,0.131810725
2019,9,16,월,ARP8,ARP3,L,L1905,D,16:30,0,0.191968173
2019,9,16,월,ARP6,ARP3,J,J1959,A,16:40,0,0.068435386
2019,9,16,월,ARP3,ARP6,J,J1959,D,15:30,1,0.374810487
2019,9,16,월,ARP3,ARP1,L,L1713,A,12:55,0,0.0588319
2019,9,16,월,ARP1,ARP3,L,L1713,D,11:45,0,0.182375401
2019,9,16,월,ARP3,ARP1,L,L1723,A,15:45,0,0.076300189
2019,9,16,월,ARP3,ARP4,L,L1803,A,9:55,0,0.094997086
2019,9,16,월,ARP4,ARP3,L,L1803,D,8:55,0,0.158486739
2019,9,16,월,ARP8,ARP3,L,L1906,A,15:55,1,0.121806063
2019,9,16,월,ARP3,ARP8,L,L1906,D,15:05,0,0.162183702
2019,9,16,월,ARP3,ARP6,J,J1960,A,18:25,0,0.047393937
2019,9,16,월,ARP1,ARP3,L,L1723,D,14:35,0,0.211372912
2019,9,16,월,ARP4,ARP3,L,L1804,A,15:50,0,0.062030237
2019,9,16,월,ARP3,ARP4,L,L1804,D,14:45,0,0.052719858
2019,9,16,월,ARP3,ARP7,L,L1931,A,7:30,0,0.035681773
2019,9,16,월,ARP7,ARP3,L,L1931,D,6:40,0,0.013550537
2019,9,16,월,ARP6,ARP3,J,J1960,D,17:20,0,0.06318254
2019,9,16,월,ARP3,ARP1,L,L1715,A,14:00,1,0.126906022
2019,9,16,월,ARP1,ARP3,L,L1715,D,12:50,0,0.171406716
2019,9,16,월,ARP3,ARP1,L,L1725,A,16:25,1,0.173726603
2019,9,16,월,ARP1,ARP3,L,L1725,D,15:15,1,0.588795483
2019,9,16,월,ARP7,ARP3,L,L1932,A,19:00,0,0.020537652
2019,9,16,월,ARP3,ARP7,L,L1932,D,18:10,0,0.127039418
2019,9,16,월,ARP3,ARP10,M,M1361,A,11:25,0,0.034585323
2019,9,16,월,ARP10,ARP3,M,M1361,D,9:50,1,0.26496616
2019,9,16,월,ARP1,ARP3,L,L1726,A,17:30,1,0.129065558
2019,9,16,월,ARP3,ARP1,L,L1726,D,16:20,0,0.159150466
2019,9,16,월,ARP3,ARP4,L,L1805,A,11:05,0,0.101940669
2019,9,16,월,ARP4,ARP3,L,L1805,D,10:05,0,0.058735061
2019,9,16,월,ARP3,ARP10,M,M1363,A,18:10,0,0.068268657
2019,9,16,월,ARP10,ARP3,M,M1363,D,16:50,0,0.096686803
2019,9,16,월,ARP3,ARP1,L,L1717,A,14:30,0,0.058866091
2019,9,16,월,ARP1,ARP3,L,L1717,D,13:20,0,0.171406716
2019,9,16,월,ARP3,ARP1,L,L1727,A,18:35,0,0.031017387
2019,9,16,월,ARP1,ARP3,L,L1727,D,17:25,0,0.056772511
2019,9,16,월,ARP4,ARP3,L,L1806,A,19:05,1,0.140487686
2019,9,16,월,ARP3,ARP4,L,L1806,D,18:05,0,0.155623585
2019,9,16,월,ARP3,ARP1,L,L1701,A,7:50,0,0.01183428
2019,9,16,월,ARP1,ARP3,L,L1701,D,6:40,0,0.024165194
2019,9,16,월,ARP1,ARP3,L,L1718,A,13:55,0,0.056081943
2019,9,16,월,ARP3,ARP1,L,L1718,D,12:45,0,0.134360552
2019,9,16,월,ARP1,ARP3,L,L1728,A,18:15,1,0.127268836
2019,9,16,월,ARP3,ARP1,L,L1728,D,17:05,1,0.50408864
2019,9,16,월,ARP3,ARP4,L,L1807,A,17:30,1,0.125870079
2019,9,16,월,ARP4,ARP3,L,L1807,D,16:25,0,0.207482293
2019,9,16,월,ARP1,ARP4,B,B1850,A,21:00,0,0.029981006
2019,9,16,월,ARP4,ARP1,B,B1850,D,20:05,0,0.180922881
2019,9,16,월,ARP1,ARP5,J,J1607,A,13:10,0,0.016522193
2019,9,16,월,ARP5,ARP1,J,J1607,D,12:10,0,0.03749406
2019,9,16,월,ARP5,ARP1,J,J1608,A,14:50,0,0.019173304
2019,9,16,월,ARP1,ARP5,J,J1608,D,13:50,0,0.226172939
2019,9,16,월,ARP8,ARP1,A,A1703,A,10:30,0,0.015358366
2019,9,16,월,ARP1,ARP8,A,A1703,D,9:35,0,0.012277091
2019,9,16,월,ARP9,ARP1,J,J1334,A,9:40,0,0.01458959
2019,9,16,월,ARP1,ARP9,J,J1334,D,8:40,0,0.047157679
2019,9,16,월,ARP1,ARP5,J,J1609,A,16:30,0,0.030277176
2019,9,16,월,ARP5,ARP1,J,J1609,D,15:30,0,0.014679302
2019,9,16,월,ARP5,ARP1,J,J1610,A,18:10,0,0.017597876
2019,9,16,월,ARP1,ARP5,J,J1610,D,17:10,0,0.028890131
2019,9,16,월,ARP1,ARP8,A,A1704,A,11:55,0,0.041611236
2019,9,16,월,ARP8,ARP1,A,A1704,D,11:00,0,0.04266936
2019,9,16,월,ARP1,ARP5,J,J1611,A,19:50,0,0.01113531
